"filename","tag_count","id","title","date","author","layout","guid","permalink","podPressPostSpecific","- 'a","categories","tags","podPressMedia","excerpt","enclosure","- ""http","image"
"2008-08-13-whats-going-on-here.md","5","10","What?s going on here?","2008-08-13T00:06:54-06:00","Jim McKeeth","post","http://www.delphi.org/?p=10","/2008/08/whats-going-on-here/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","codegear, delphi, News, podcast, programming","","","","",""
"2008-08-18-episode-1-tiburon.md","5","26","1 ? Tiburon","2008-08-18T00:44:23-06:00","Jim McKeeth","post","http://www.delphi.org/?p=26","/2008/08/episode-1-tiburon/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","","Audio podCast, code monkey, codegear, delphi, tiburon","","","","",""
"2008-08-18-interview-with-nick-hodges.md","5","54","Interview with Nick Hodges","2008-08-18T20:47:43-06:00","Jim McKeeth","post","http://www.delphi.org/?p=54","/2008/08/interview-with-nick-hodges/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","codegear, delphi, interview, News, questions","","","","",""
"2008-08-18-now-on-itunes.md","1","50","Now on iTunes","2008-08-18T15:43:14-06:00","Jim McKeeth","post","http://www.delphi.org/?p=50","/2008/08/now-on-itunes/","","","News","News","","","","",""
"2008-08-19-release-date-for-delphi-2009-announced.md","5","57","Release Date for Delphi 2009 Announced","2008-08-19T22:01:39-06:00","Jim McKeeth","post","http://www.delphi.org/?p=57","/2008/08/release-date-for-delphi-2009-announced/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","annoucement, delphi, eweek, News, podcast","","","","",""
"2008-08-25-delphi-2009-available-for-order.md","4","86","Delphi 2009 Available for Order","2008-08-25T09:05:51-06:00","Jim McKeeth","post","http://www.delphi.org/?p=86","/2008/08/delphi-2009-available-for-order/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","codegear, delphi, delphi 2009, News","","","","",""
"2008-08-25-episode-2-nick-hodges.md","7","71","2 ? Nick Hodges","2008-08-25T01:42:48-06:00","Jim McKeeth","post","http://www.delphi.org/?p=71","/2008/08/episode-2-nick-hodges/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","","Audio podCast, beyond compare, codegear, delphi, podcast, smartinspect, tiburon","","","","",""
"2008-08-25-smartinspect-giveaway.md","4","73","SmartInspect GiveAway","2008-08-25T01:47:37-06:00","Jim McKeeth","post","http://www.delphi.org/?p=73","/2008/08/smartinspect-giveaway/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","giveaway, News, podcast, smartinspect","","","","",""
"2008-08-26-betablogging-delphi-2009-install-time.md","5","94","BetaBlogging ? Delphi 2009 Install Time","2008-08-26T09:30:39-06:00","Jim McKeeth","post","http://www.delphi.org/?p=94","/2008/08/betablogging-delphi-2009-install-time/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","betablogging, delphi 2009, installation, News, upgrade","","","","",""
"2008-08-27-delphi-win32-and-net-diverging.md","6","106","Delphi Win32 and .NET Diverging","2008-08-27T22:47:13-06:00","Jim McKeeth","post","http://www.delphi.org/?p=106","/2008/08/delphi-win32-and-net-diverging/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News",".NET, codegear, Compatibility, delphi, News, Win32","","","","",""
"2008-08-28-now-with-burning-feeds.md","4","111","Now with Burning Feeds","2008-08-28T01:54:33-06:00","Jim McKeeth","post","http://www.delphi.org/?p=111","/2008/08/now-with-burning-feeds/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","Audio podCast, feed, News, podcast","","","","",""
"2008-09-01-episode-3-barry-kelly.md","6","121","3 ? Barry Kelly","2008-09-01T16:59:04-06:00","Jim McKeeth","post","http://www.delphi.org/?p=121","/2008/09/episode-3-barry-kelly/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","","anonymous methods, Audio podCast, compiler, delphi, garbage collection, generics","","","","",""
"2008-09-03-ideal-podcast-duration.md","4","138","Ideal Podcast Duration","2008-09-03T16:38:13-06:00","Jim McKeeth","post","http://www.delphi.org/?p=138","/2008/09/ideal-podcast-duration/","","6:{s:15:""itunes:subtitle"";s:15:""##PostExcerpt##"";s:14:""itunes:summary"";s:15:""##PostExcerpt##"";s:15:""itunes:keywords"";s:17:""##WordPressCats##"";s:13:""itunes:author"";s:10:""##Global##"";s:15:""itunes:explicit"";s:2:""No"";s:12:""itunes:block"";s:2:""No"";}","News","duration, News, podcast, poll","","","","",""
